,transposed conv kernel,small parallel trans kernel,use ConNeXt backbone,backbone convolution kernel,parallel small conv backbone,epsilon,mIoU,mAcc,allAcc
244,9,0,True,7,0,0.1,0.4497,0.6724,0.8209
245,5,0,False,3,0,0.15,0.4572,0.6635,0.8226
246,5,0,False,3,0,0.25,0.4322,0.6167,0.8082
247,5,0,False,3,0,0.2,0.4464,0.6430,0.8161
248,5,0,False,3,0,0.3,0.4157,0.5860,0.8001
249,5,0,False,3,0,0.05,0.4740,0.6918,0.8321
250,5,0,False,3,0,0.0,0.7157,0.8480,0.9304
251,5,0,False,3,0,0.1,0.4637,0.6779,0.8267
252,17,0,True,11,3,0.15,0.4334,0.6491,0.8116
253,17,0,True,11,3,0.25,0.4147,0.6146,0.8043
254,17,0,True,11,3,0.2,0.4253,0.6345,0.8082
255,17,0,True,11,3,0.3,0.4049,0.5945,0.8011
256,17,0,True,11,3,0.05,0.4570,0.6799,0.8238
257,17,0,True,11,3,0.0,0.7111,0.8491,0.9288
258,17,0,True,11,3,0.1,0.4432,0.6641,0.8160
259,17,0,True,11,3,0.15,0.4384,0.6549,0.8172
260,17,0,True,11,3,0.25,0.4215,0.6218,0.8106
261,17,0,True,11,3,0.2,0.4287,0.6380,0.8135
262,17,0,True,11,3,0.3,0.4115,0.6000,0.8077
263,17,0,True,11,3,0.05,0.4595,0.6811,0.8268
264,17,0,True,11,3,0.0,0.7095,0.8453,0.9284
265,17,0,True,11,3,0.1,0.4458,0.6672,0.8203
266,15,0,True,7,0,0.15,0.4389,0.6544,0.8136
267,15,0,True,7,0,0.25,0.4240,0.6228,0.8064
268,15,0,True,7,0,0.2,0.4319,0.6397,0.8102
269,15,0,True,7,0,0.3,0.4113,0.5964,0.8013
270,15,0,True,7,0,0.05,0.4585,0.6820,0.8244
271,15,0,True,7,0,0.0,0.7135,0.8516,0.9291
272,15,0,True,7,0,0.1,0.4454,0.6670,0.8167
